Project Name,RERA Reg. No.,Project Address,Taluka,District,State,Project Type,About Property,Project Start Date,Project End Date,Project Land Area,Total Open Area,Total Covered Area,Carpet Area of Units (Range),Plan Passing Authority,Redevelopment Project,Affordable Housing,Amenities,Unit Type,Block,Total Units,Available Units,Total No. of Towers/Blocks,Promoter Name,Promoter Type,Contact,Email Id,Address,Office Address,Partner 1,Partner 2,Partner 3,Partner 4,Partner 5,Project Estimated Cost (Rs.),Percentage Loan Against Project Estimated Cost,Total Quarterly Compliance Required,Total Complied Quarters,Total Quarterly Compliance Defaulted,Total Annual Compliance Required,Total Complied Annual Compliance,Total Annual Compliance Defaulted,Project Status,Website,Approved Date,Partner 6,Partner 7,Partner 8,Partner 9,Pincode,Partner 10,Partner 11,Partner 12,Partner 13,Partner 14,Partner 15,Partner 16
RADHE INDUSTRIAL ESTATE,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA02900/130618,"1, RADHE INDUSTRAIL ESTATE, SWAMINARAYAN NI GALI UTTAR GUJARAT ESTATE ROAD, NARODA ROAD, MEMCO",Ahmedabad City,Ahmedabad,Gujarat,Commercial,COMMERCIAL PROJECT,22-07-2016,30-06-2022,"3547 Sq Mtrs
Total Open Area:- 2311.51 Sq Mtrs
Total Covered Area:- 950.49 Sq Mtrs","2311.51 Sq Mtrs
Total Covered Area:- 950.49 Sq Mtrs",950.49 Sq Mtrs,64.66 Sq Mts - 157.62 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Drinking Water, Water Conservation, Water Supply, Road",Other,A,16,12,2,RADHE CORPORATION,PARTNERSHIP FIRM,9898806886,maheshdesai26@yahoo.in,"252, RABARI VASAHAT ODHAV Gujarat Ahmedabad 382418","1, RADHE INDUSTRAIL ESTATE, SWAMINARAYAN NI GALI, Ahmedabad City, Ahmedabad, Gujarat, 380004
Partners:-
1. MAHESHKUMAR NATHABHAI DESAI (Authorized Signatory)
Project Estimated Cost (Rs.):- 4,27,78,220 Percentage Loan Against Project Estimated Cost :- 0 %",MAHESHKUMAR NATHABHAI DESAI (Authorized Signatory),,,,,"4,27,78,220",0%,16,15,NIL,5,5,NIL,Ongoing,https://gujrera.gujarat.gov.in/viewProjectDetailPage?projectID=3900,13-06-2018,,,,,380004,,,,,,,
Rajul,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA05001/A1R/300920,"S.P. No.-38/1/1, Behind Rachana School, Nr. Rajasthan Hospital, Shahibaug,",Ahmedabad City,Ahmedabad,Gujarat,Residential/Group Housing,3 & 4 BHK Residential Flats,05-01-2019,30-06-2023,"2459.81 Sq Mtrs
Total Open Area:- 1552.24 Sq Mtrs
Total Covered Area:- 907.57 Sq Mtrs","1552.24 Sq Mtrs
Total Covered Area:- 907.57 Sq Mtrs",907.57 Sq Mtrs,112.18 Sq Mts - 181.22 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Lift, Security, Drinking Water, Water Conservation, Water Supply, Community Hall, Fire Safety, Road",Residential,A,65,0,2,LILAMANI INFRA,PARTNERSHIP FIRM,9327796737,lilamaniinfra@gmail.com,"203, Shashwat Complex, Opp. HDFC House, Nr. Mithakhali Six Road, Navrangpura Gujarat Ahmedabad Ahmedabad City 380009","S.P. No.-38/1/1, Behind Rachana School,, Ahmedabad City, Ahmedabad, Gujarat, 380004
Partners:-
1. PARAS MAHENDRAKUMAR VORA
2. SHREYANSH MAHENDRAKUMAR VORA (Authorized Signatory)
3. MAHENDRAKUMAR CHIMANLAL VORA
Project Estimated Cost (Rs.):- 62,76,96,156 Percentage Loan Against Project Estimated Cost :- 0 %",PARAS MAHENDRAKUMAR VORA,SHREYANSH MAHENDRAKUMAR VORA (Authorized Signatory),MAHENDRAKUMAR CHIMANLAL VORA,,,"62,76,96,156",0%,17,17,NIL,5,5,NIL,New,http://www.lilamanigroup.com,07-03-2019,,,,,380004,,,,,,,
Royale Jardine,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00437/131017,Near shahibaug railway crossing Shahibaug Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,Residential/Group Housing,Housing project,19-10-2016,31-10-2018,"2422 Sq Mtrs
Total Open Area:- 1792 Sq Mtrs
Total Covered Area:- 630 Sq Mtrs","1792 Sq Mtrs
Total Covered Area:- 630 Sq Mtrs",630 Sq Mtrs,92.87 Sq Mts - 150.25 Sq Mts,Ahmedabad Municipal Corporation,NIL Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Lift, Security, Drinking Water, Water Conservation, Water Supply, Fire Safety, Road",No inventory data available,,0,0,1,Aatrey Enterprises,PARTNERSHIP FIRM,9825013595,reemdesign1985@gmail.com,4th floor Shoppers plaza II Opp Telephone exchange C.G.road Ahmedbad Gujarat Ahmedabad 380009,"Near shahibaug railway crossing, Ahmedabad City, Ahmedabad, Gujarat, 380004
Partners:-
1. Mohan Agrawal (Authorized Signatory)
Project Estimated Cost (Rs.):- NaN Percentage Loan Against Project Estimated Cost :-",Mohan Agrawal (Authorized Signatory),,,,,,,4,4,NIL,2,1,NIL,Ongoing,http://www.shreeminfra.in/,13-10-2017,,,,,380004,,,,,,,
Satva 7,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA05768/230719,"Satva7, Opp. Rajasthan Hospital Shahibaug",Ahmedabad City,Ahmedabad,Gujarat,Residential/Group Housing,3 & 4 BHK Luxurious Appartment,04-05-2019,30-09-2024,"2043 Sq Mtrs
Total Open Area:- 1200.08 Sq Mtrs
Total Covered Area:- 842.92 Sq Mtrs","1200.08 Sq Mtrs
Total Covered Area:- 842.92 Sq Mtrs",842.92 Sq Mtrs,102.83 Sq Mts - 162.82 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Lift, Security, Drinking Water, Water Conservation, Water Supply, Renewable Energy, Community Hall, Fire Safety, Road",Residential,A,35,20,2,Satva Developers,PARTNERSHIP FIRM,9924200980,satvadevelopers2016@gmail.com,"Satva 7, Opp. Rajasthan Hospital, Shahibaug, Ahmedabad Gujarat Ahmedabad 380004","Satva7, Opp. Rajasthan Hospital, Ahmedabad City, Ahmedabad, Gujarat, 380004
Partners:-
1. Laljibhai Chhaganbhai Jogiya (Authorized Signatory)
2. Bhabutmal Ukaji Jain
3. Kavan Rajanbhai Shah
4. Shah Rishilkumar Suketbhai
5. Vikashkumar Utsavlal Kanunga
6. Mehta Anil Sumermal
7. Vrajansh Smart Space LLP by its partner Joshi Hemen Hiren
Project Estimated Cost (Rs.):- 14,47,51,871 Percentage Loan Against Project Estimated Cost :- 0 %",Laljibhai Chhaganbhai Jogiya (Authorized Signatory),Bhabutmal Ukaji Jain,Kavan Rajanbhai Shah,Shah Rishilkumar Suketbhai,Vikashkumar Utsavlal Kanunga,"14,47,51,871",0%,20,15,NIL,5,4,1,New,https://gujrera.gujarat.gov.in/viewProjectDetailPage?encVar=58!bKtobyUmCXQyWTlqvyTpNOsuINtdWSwcVVomsUXnjXDPnAGsxRmrHICevXUJfEFssTyqxRmrbKtorJEHHMTebCAbtLNIotFqNOsusQbfINtdefYojXDPqjCbtVXQbCAbHWuxyECoHMTenuVr,23-07-2019,Mehta Anil Sumermal,Vrajansh Smart Space LLP by its partner Joshi Hemen Hiren,,,380004,,,,,,,
SHAHIBAUG GREENS,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00563/EX2/A1R/231219,"F.P. NO. 323, S.P. NO. 3, TPS NO. 14 B\H BOMBAY GARAGE, OPP DOLPHIN CLUB , SHAHIBAUG",Ahmedabad City,Ahmedabad,Gujarat,Residential/Group Housing,RESIDENTIAL APARTMENTS,21-05-2016,19-10-2020,"2210 Sq Mtrs
Total Open Area:- 912 Sq Mtrs
Total Covered Area:- 1077 Sq Mtrs","912 Sq Mtrs
Total Covered Area:- 1077 Sq Mtrs",1077 Sq Mtrs,102.14 Sq Mts - 143.75 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Security, Water Conservation, Water Supply, Road",Residential,B,56,35,2,JANKI DEVELOPERS,PARTNERSHIP FIRM,9328855202,jankidevelopers2015@gmail.com,411 NILKANTH PLAZA SHAHIBAUGH ROAD Gujarat Ahmedabad 380004,"F.P. NO. 323, S.P. NO. 3, TPS NO. 14, Ahmedabad City, Ahmedabad, Gujarat, 380004
Partners:-
1. CHARULATABEN POKAL (Authorized Signatory)
Project Estimated Cost (Rs.):- 32,66,07,240 Percentage Loan Against Project Estimated Cost :- 0 %",CHARULATABEN POKAL (Authorized Signatory),,,,,"32,66,07,240",0%,12,5,NIL,4,4,NIL,Ongoing,https://gujrera.gujarat.gov.in/,01-11-2017,,,,,380004,,,,,,,
SHAHIKUTIR GREENS,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA02417/EX1/151119,"SHAHIKUTIR GREENS, OPP. SUJATA FLATS, NEXT TO MONALISA FLATS, SHAHIBAUG",Ahmedabad City,Ahmedabad,Gujarat,Residential/Group Housing,RESIDENTIAL HOUSING,09-05-2017,12-10-2020,"3744.05 Sq Mtrs
Total Open Area:- 1684.33 Sq Mtrs
Total Covered Area:- 2059.67 Sq Mtrs","1684.33 Sq Mtrs
Total Covered Area:- 2059.67 Sq Mtrs",2059.67 Sq Mtrs,107.34 Sq Mts - 167.76 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Water Conservation, Water Supply, Road",Residential,A,62,16,4,AASTHA BUILDCON,PARTNERSHIP FIRM,9624000927,projectsaastha@gmail.com,"TF 309, 310, Devnandan Mega Mall Nr. MJ Library, Ashram Road, Ahmedabad Gujarat Ahmedabad Ahmedabad City 380006","SHAHIKUTIR GREENS, OPP. SUJATA FLATS,, Ahmedabad City, Ahmedabad, Gujarat, 380004
Partners:-
1. NISHAN KAMALBHAI SHAH
2. KAVAN RAJANBHAI SHAH
3. SAMKIT NAVINBHAI DESAI (Authorized Signatory)
Project Estimated Cost (Rs.):- 51,80,20,591 Percentage Loan Against Project Estimated Cost :- 5.11 %",NISHAN KAMALBHAI SHAH,KAVAN RAJANBHAI SHAH,SAMKIT NAVINBHAI DESAI (Authorized Signatory),,,"51,80,20,591",5.11%,10,6,NIL,3,2,NIL,Ongoing,Not Available,20-04-2018,,,,,380004,,,,,,,
SHEETAL AQUA,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00029/310817,"OPP. RIVER FRONT PARK, NR. SUBHASHBRIDGE SHAHIBAUG, AHMEDABAD",Ahmedabad City,Ahmedabad,Gujarat,Residential/Group Housing,RESIDENTIAL FLAT SCHEME,10-02-2015,31-05-2019,"9070 Sq Mtrs
Total Open Area:- 5952 Sq Mtrs
Total Covered Area:- 3118 Sq Mtrs","5952 Sq Mtrs
Total Covered Area:- 3118 Sq Mtrs",3118 Sq Mtrs,122 Sq Mts - 192.5 Sq Mts,Ahmedabad Municipal Corporation,NIL Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Lift, Security, Drinking Water, Water Conservation, Water Supply, Community Hall, Fire Safety, Road",No inventory data available,,0,0,4,SHEETAL INFRASTRUCTURE PRIVATE LIMITED,COMPANY,9904313737,sumit.m@sheetalinfra.com,"25, 4TH FLOOR, SHUKAN MALL NEAR RAJASTHAN HOSPITAL, Gujarat Ahmedabad Ahmedabad City 380004","OPP. RIVER FRONT PARK, NR. SUBHASHBRIDGE, Ahmedabad City, Ahmedabad, Gujarat, 380004
Partners:-
1. PARAS CHAMANLAL PANDIT
2. TAMANNA PARAS PANDIT
Project Estimated Cost (Rs.):- NaN Percentage Loan Against Project Estimated Cost :-",PARAS CHAMANLAL PANDIT,TAMANNA PARAS PANDIT,,,,,,7,6,NIL,2,2,NIL,Ongoing,https://sheetalinfra.com/,31-08-2017,,,,,380004,,,,,,,
Shivalik Residences,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00645/091117,Near Shahibaug Underpass Shahibaug,Ahmedabad City,Ahmedabad,Gujarat,Residential/Group Housing,4 and 5 BHK,16-01-2015,30-10-2018,"5622 Sq Mtrs
Total Open Area:- 4484 Sq Mtrs
Total Covered Area:- 1138 Sq Mtrs","4484 Sq Mtrs
Total Covered Area:- 1138 Sq Mtrs",1138 Sq Mtrs,238.03 Sq Mts - 292.08 Sq Mts,Ahmedabad Municipal Corporation,NIL Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Lift, Security, Water Conservation, Water Supply, Fire Safety, Road",No inventory data available,,0,0,2,SHIVALIK DEVELOPERS PRIVATE LIMITED,COMPANY,9099040604,rera.shivalikcurv@gmail.com,"Shivalik House, Besides Satellite Police Station Ramdevnagar Cross Road, Satellite Gujarat Ahmedabad Ahmedabad City 380015","Near Shahibaug Underpass, Ahmedabad City, Ahmedabad, Gujarat, 380004
Partners:-
1. TARAL SATISHKUMAR SHAH (Authorized Signatory)
2. CHITRAK SATISHBHAI SHAH
Project Estimated Cost (Rs.):- NaN Percentage Loan Against Project Estimated Cost :-",TARAL SATISHKUMAR SHAH (Authorized Signatory),CHITRAK SATISHBHAI SHAH,,,,,,4,2,NIL,2,NIL,NIL,Ongoing,https://www.shivalikgroup.com/,09-11-2017,,,,,380004,,,,,,,
Shree Residency,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA03275/EX1/180221,"Shree Residency, 29, Patel Society, Opp. New Madhupura Market, Shahibaug, Ahmedabad, Gujarat - 380004",Ahmedabad City,Ahmedabad,Gujarat,Residential/Group Housing,A 4BHK Lifestyle Living,23-09-2017,30-12-2021,"592 Sq Mtrs
Total Open Area:- 268 Sq Mtrs
Total Covered Area:- 324 Sq Mtrs","268 Sq Mtrs
Total Covered Area:- 324 Sq Mtrs",324 Sq Mtrs,129.95 Sq Mts - 130.72 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Security, Water Supply",Residential,One,10,0,1,SHREE VEER DEVELOPERS,PARTNERSHIP FIRM,9879208626,jayeshah66@hotmail.com,"302, SWAPNEEL-5, COMMERCE SIX ROAD, NAVRANGPURA, AHMEDABAD Gujarat Ahmedabad 380009","Shree Residency, 29, Patel Society, Opp. New Madhupura Market, , Ahmedabad City, Ahmedabad, Gujarat, 380004
Partners:-
1. JAYESH SHAH
Project Estimated Cost (Rs.):- 6,77,83,125 Percentage Loan Against Project Estimated Cost :- 0 %",JAYESH SHAH,,,,,"6,77,83,125",0%,14,11,NIL,4,3,NIL,New,https://gujrera.gujarat.gov.in/viewProjectDetailPage?projectID=6137,30-07-2018,,,,,380004,,,,,,,
SIDDHI HOMES,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD MUNICIPAL CORPORATION/MAA14839/170225/311226,"Siddhi Homes, Nr Shahpur Fire Station, Shahpur Road, Shahpur, Ahmedabad - 380004",Ahmedabad City,Ahmedabad,GUJARAT,Mixed Development,1 & 2 BHK Flats and Shops,13-04-2023,31-12-2026,"Sq Mtrs
Total Open Area:- 383.21 Sq Mtrs
Total Covered Area:- 236.16 Sq Mtrs","383.21 Sq Mtrs
Total Covered Area:- 236.16 Sq Mtrs",236.16 Sq Mtrs,13.86 Sq Mts - 49.08 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- YES,YES,"Disposal of sewage water, Garden, Lift, Security, Drinking Water, Water Conservation, Water Supply, Renewable Energy, Fire Safety, Road",Shop; Residential,A; A,41,39,1,MAHAKALI BUILDCON LLP,LIMITED LIABILITY PARTNERSHIP FIRM,7984173013,mahakalisiddhihomes@gmail.com,"35, GROUND FLOOR, RAVIARCADE, DUDESHWAR ROAD, DUDESHWAR, AHMEDABAD - 380004 DUDESHWAR, AHMEDABAD GUJARAT Ahmedabad Ahmedabad City 380004","Siddhi Homes, Nr Shahpur Fire Station, Shahpur Road, Shahpur, Ahmedabad - 380004, Ahmedabad City, Ahmedabad, GUJARAT, 380004
Partners:-
1. JINAL PRADEEPKUMAR SHAH (Authorized Signatory)
2. SHAILEE JINAL SHAH
3. RAMESHBHAI KALUBHAI PARMAR
4. MINABEN RAMESHBHAI PARMAR
Project Estimated Cost (Rs.):- 7,01,84,020 Percentage Loan Against Project Estimated Cost :- 0 %",JINAL PRADEEPKUMAR SHAH (Authorized Signatory),SHAILEE JINAL SHAH,RAMESHBHAI KALUBHAI PARMAR,MINABEN RAMESHBHAI PARMAR,,"7,01,84,020",0%,1,1,NIL,1,NIL,NIL,New,Not Available,17-02-2025,,,,,380004,,,,,,,
SIDDHI INDUSTRIAL PARK,PR/GJ/AHMEDABAD/AHMEDABAD CITY/OTHERS/CAA05662/060719,"SURVEY NO. 41, F.P. NO 24 DARIYAPUR-KAZIPUR, NARODA",Ahmedabad City,Ahmedabad,Gujarat,Commercial,INDUSTRIAL SHED,28-03-2019,30-09-2023,"18716 Sq Mtrs
Total Open Area:- 9444 Sq Mtrs
Total Covered Area:- 9272 Sq Mtrs","9444 Sq Mtrs
Total Covered Area:- 9272 Sq Mtrs",9272 Sq Mtrs,31.21 Sq Mts - 686.51 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Lift, Security, Water Conservation, Water Supply, Community Hall, Fire Safety, Road",Office,A,311,37,5,SIDDHI CORPORATION,PARTNERSHIP FIRM,9099049178,ketan@aarohistarz.com,"B-003 ELANZA CREST B/H HOF LIVING, NR SIGMA CORPORATES, SINDHUBHAVAN ROAD Gujarat Ahmedabad Ahmedabad City 380059","SURVEY NO. 41, F.P. NO 24, Ahmedabad City, Ahmedabad, Gujarat, 380004
Partners:-
1. MEHULKUMAR BALDEVBHAI PATEL (Authorized Signatory)
2. DIPAKKUMAR BALDEVBHAI PATEL
3. VINESH CHHAGANBHAI VORA
4. SANDEEP JASHVANTBHAI PATEL
5. AJAYKUMAR PRAVINCHANDRA DAVDA
6. DHAVAL RAMESHBHAI PATEL (Authorized Signatory)
Project Estimated Cost (Rs.):- 1,17,38,57,760 Percentage Loan Against Project Estimated Cost :- 0 %",MEHULKUMAR BALDEVBHAI PATEL (Authorized Signatory),DIPAKKUMAR BALDEVBHAI PATEL,VINESH CHHAGANBHAI VORA,SANDEEP JASHVANTBHAI PATEL,AJAYKUMAR PRAVINCHANDRA DAVDA,"1,17,38,57,760",0%,17,16,NIL,4,4,NIL,New,www.siddhidevelopers.com,06-07-2019,DHAVAL RAMESHBHAI PATEL (Authorized Signatory),,,,380004,,,,,,,
TRINITY PLAZA,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA05306/EX2/030521,TRINITY PLAZA NEAR SHANIDEV MANDIR SHAHIBAUG,Ahmedabad City,Ahmedabad,Gujarat,Commercial,COMMERCIAL UNIT AND OFFICES HAVING BASEMENT GROUND TO THIRD FLOOR,14-02-2019,30-09-2021,"789.16 Sq Mtrs
Total Open Area:- 424 Sq Mtrs
Total Covered Area:- 365 Sq Mtrs","424 Sq Mtrs
Total Covered Area:- 365 Sq Mtrs",365 Sq Mtrs,35.64 Sq Mts - 91.8 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Garden, Water Conservation, Water Supply, Road",Office; Shop,TRINITY PLAZA; TRINITY PLAZA,26,16,1,TRINITY PLAZA,PARTNERSHIP FIRM,9824095244,dhruti@gkcco.com,LG 1 AND 2 SHEFALI CENTRE PALDI CROSS ROADS AHMEDABAD Gujarat Ahmedabad 380007,"TRINITY PLAZA NEAR SHANIDEV MANDIR, Ahmedabad City, Ahmedabad, Gujarat, 380004
Partners:-
1. HEMEN HIRENKUMAR JOSHI (Authorized Signatory)
2. Shilpa Akshaykumar Teraiya
Project Estimated Cost (Rs.):- 16,23,92,147 Percentage Loan Against Project Estimated Cost :- 0 %",HEMEN HIRENKUMAR JOSHI (Authorized Signatory),Shilpa Akshaykumar Teraiya,,,,"16,23,92,147",0%,10,8,NIL,2,1,1,New,www.vrajanshsmartspace.com,22-04-2019,,,,,380004,,,,,,,
3rd Eye Three,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA03118/EX1/080620,"3rd Eye Three, Nr. Girish Cold Drinks, C.G.Road, Navrangpura",Ahmedabad City,Ahmedabad,Gujarat,Commercial,Commercial,05-12-2017,27-08-2021,"2114 Sq Mtrs
Total Open Area:- 1178 Sq Mtrs
Total Covered Area:- 936 Sq Mtrs","1178 Sq Mtrs
Total Covered Area:- 936 Sq Mtrs",936 Sq Mtrs,26.9 Sq Mts - 128.36 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Security, Drinking Water, Water Conservation, Water Supply, Fire Safety, Road",Office; Shop,3rd Eye Three; 3rd Eye Three,102,18,1,CALICA BUILDWELL PRIVATE LIMITED,COMPANY,9825062708,patel.calicagroup@gmail.com,"53, NIRANT PARK SOCIETY OPP SUN -N-STEP CLUB, Thaltej Gujarat Ahmedabad 380054","3rd Eye Three, Nr. Girish Cold Drinks, , Ahmedabad City, Ahmedabad, Gujarat, 380006
Partners:-
1. AMRISH RAMBHAI PATEL (Authorized Signatory)
Project Estimated Cost (Rs.):- 47,09,78,993 Percentage Loan Against Project Estimated Cost :- 0 %",AMRISH RAMBHAI PATEL (Authorized Signatory),,,,,"47,09,78,993",0%,13,11,NIL,3,3,NIL,New,http://calicagroup.com,09-07-2018,,,,,380006,,,,,,,
Aaryan Workspace - 2,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00318/031017,"Opp. Vasun Dhara Society, Nr. Puneshwar Flat, Gulbai Tekra,",Ahmedabad City,Ahmedabad,Gujarat,Commercial,"14 Storied Commercial Scheme At Gulbai Tekra BRTS Road , Ahmedabad",07-05-2016,30-06-2020,"2106 Sq Mtrs
Total Open Area:- 1353.07 Sq Mtrs
Total Covered Area:- 752.93 Sq Mtrs","1353.07 Sq Mtrs
Total Covered Area:- 752.93 Sq Mtrs",752.93 Sq Mtrs,37 Sq Mts - 124 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Garden, Lift, Security, Drinking Water, Water Conservation, Water Supply, Fire Safety, Road",Office,1,119,71,1,Aaryan Workspace LLP,LIMITED LIABILITY PARTNERSHIP FIRM,9998611906,rera.workspace2@gmail.com,"406, Aaryan Workspace, St.Xaviers College Corner, Navrangpura Gujarat Ahmedabad 380009","Opp. Vasun Dhara Society,, Ahmedabad City, Ahmedabad, Gujarat, 380006
Partners:-
1. Manan Rajendra Shah (Authorized Signatory)
2. Tanay Rajendra Shah
3. Aditya Suresh Mehta
Project Estimated Cost (Rs.):- 60,03,86,325 Percentage Loan Against Project Estimated Cost :- 0 %",Manan Rajendra Shah (Authorized Signatory),Tanay Rajendra Shah,Aditya Suresh Mehta,,,"60,03,86,325",0%,11,10,NIL,3,3,NIL,Ongoing,http://www.aaryandevelopers.in/,03-10-2017,,,,,380006,,,,,,,
ADINATH RESIDENCY,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA03189/190718,"15 BRAHMKSHATRIYA CO OP HSG LTD, OPP PRITAMNAGAR AKHADA ELLISEBRIDGE, AHMEDABAD",Ahmedabad City,Ahmedabad,Gujarat,Residential/Group Housing,14 RESIDENTIAL APARTMENT,12-04-2018,31-01-2022,"672 Sq Mtrs
Total Open Area:- 299.26 Sq Mtrs
Total Covered Area:- 372.74 Sq Mtrs","299.26 Sq Mtrs
Total Covered Area:- 372.74 Sq Mtrs",372.74 Sq Mtrs,152.37 Sq Mts - 152.41 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Garden, Water Conservation, Water Supply, Fire Safety",Residential,1,14,10,1,AAVKAR PROJECTS PALDI,PARTNERSHIP FIRM,9909112121,legal@aavkar.in,"201-202 AYANA COMPLEX, ZYDUS HOSPITAL ROAD THALTEJ, AHMEDABAD Gujarat Ahmedabad 380059","15 BRAHMKSHATRIYA CO OP HSG LTD, OPP PRITAMNAGAR AKHADA, Ahmedabad City, Ahmedabad, Gujarat, 380006
Partners:-
1. SHARVIL J SHAH (Authorized Signatory)
Project Estimated Cost (Rs.):- 15,69,77,603 Percentage Loan Against Project Estimated Cost :- 0 %",SHARVIL J SHAH (Authorized Signatory),,,,,"15,69,77,603",0%,14,12,NIL,4,3,NIL,New,http://www.aavkar.in/,19-07-2018,,,,,380006,,,,,,,
ALLIED RESIDENCY,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00030/EX1/300520,ALLIED RESIDENCY B H KOTHAWALA FLATS,Ahmedabad City,Ahmedabad,Gujarat,Residential/Group Housing,RESIDENT APARTMENTS,02-06-2017,30-09-2021,"1275.01 Sq Mtrs
Total Open Area:- 713.49 Sq Mtrs
Total Covered Area:- 561.52 Sq Mtrs","713.49 Sq Mtrs
Total Covered Area:- 561.52 Sq Mtrs",561.52 Sq Mtrs,59.29 Sq Mts - 87.74 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Lift, Water Conservation, Water Supply, Community Hall, Fire Safety, Road",Residential,ALLIED RESIDENCY,42,15,1,AES SPACES LLP,LIMITED LIABILITY PARTNERSHIP FIRM,9879536046,mukesh.mevada@theaes.co.in,"B/41,Bandhan society near ghodasar lake ,cadila road,Ghodasar,Ahmedabad Gujarat Ahmedabad 380050","ALLIED RESIDENCY, Ahmedabad City, Ahmedabad, Gujarat, 380006
Partners:-
1. Mukesh mevada
2. Mohammed Akil Rarh (Authorized Signatory)
Project Estimated Cost (Rs.):- 23,31,28,024 Percentage Loan Against Project Estimated Cost :- 0 %",Mukesh mevada,Mohammed Akil Rarh (Authorized Signatory),,,,"23,31,28,024",0%,17,13,NIL,4,4,NIL,Ongoing,https://gujrera.gujarat.gov.in/viewProjectDetailPage?projectID=227,31-08-2017,,,,,380006,,,,,,,
ANAM 1,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA02636/A1C/281221,"ANAM 1, NR JMC HOUSE OPPOSITE PARIMAL GARDEN, AMBAWADI",Ahmedabad City,Ahmedabad,Gujarat,Commercial,Commercial Shops and Offices,02-04-2018,30-09-2022,"2892 Sq Mtrs
Total Open Area:- 1594 Sq Mtrs
Total Covered Area:- 1298 Sq Mtrs","1594 Sq Mtrs
Total Covered Area:- 1298 Sq Mtrs",1298 Sq Mtrs,31.16 Sq Mts - 122.93 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Lift, Security, Water Conservation, Water Supply, Fire Safety, Road",Office; Shop,ANAM 1; ANAM 1,141,60,1,AAA BUILDCOM LLP,LIMITED LIABILITY PARTNERSHIP FIRM,9909049842,finance@aaaglobal.in,"337, YASH ARIAN, MEMNAGAR Gujarat Ahmedabad 380052","ANAM 1, NR JMC HOUSE, Ahmedabad City, Ahmedabad, Gujarat, 380006
Partners:-
1. LAXMAN BHAI SOLANKI
Project Estimated Cost (Rs.):- 98,41,56,435 Percentage Loan Against Project Estimated Cost :- 0 %",LAXMAN BHAI SOLANKI,,,,,"98,41,56,435",0%,17,15,NIL,5,5,NIL,New,http://www.aaaglobal.in,10-05-2018,,,,,380006,,,,,,,
